section,row,pui,order_id,payment_id,amount,error,reason
error,162,5920,,,,"Payment mode not found: ""Cheque""",
error,163,6284,,,,"Payment mode not found: ""Cheque""",
error,164,6441,,,,"Payment mode not found: ""Cheque""",
error,165,6440,,,,"Payment mode not found: ""Cheque""",
error,166,6449,,,,"Payment mode not found: ""Cheque""",
error,167,6383,,,,"Payment mode not found: ""Cheque""",
error,168,6402,,,,"Payment mode not found: ""Cheque""",
error,169,6677,,,,"Payment mode not found: ""Cheque""",
error,170,6678,,,,"Payment mode not found: ""Cheque""",
error,171,6679,,,,"Payment mode not found: ""Cheque""",
error,172,6680,,,,"Payment mode not found: ""Cheque""",
error,173,6294,,,,"Payment mode not found: ""Cheque""",
error,174,6425,,,,"Payment mode not found: ""Cheque""",
error,175,6518,,,,"Payment mode not found: ""Cheque""",
error,176,6653,,,,"Payment mode not found: ""NEFT / RTGS""",
error,177,6593,,,,"Payment mode not found: ""Cash""",
error,178,6478,,,,"Payment mode not found: ""Cash""",
error,179,6406,,,,"Payment mode not found: ""Cash""",
error,180,6396,,,,"Payment mode not found: ""Cheque""",
error,181,6369,,,,"Payment mode not found: ""Cash""",
error,182,6100,,,,"Payment mode not found: ""Loan Payment""",
error,183,5816,,,,"Payment mode not found: ""Loan Payment""",
error,184,6495,,,,"Payment mode not found: ""Loan Payment""",
error,185,6649,,,,"Payment mode not found: ""Loan Payment""",
error,186,5972,,,,"Payment mode not found: ""NEFT / RTGS""",
error,187,6462,,,,"Payment mode not found: ""Cheque""",
error,188,6335,,,,"Payment mode not found: ""Cheque""",
error,189,6671,,,,"Payment mode not found: ""Cash""",
error,190,6399,,,,"Payment mode not found: ""Cheque""",
error,191,6476,,,,"Payment mode not found: ""Loan Payment""",
error,192,6574,,,,"Payment mode not found: ""UPI / QR Code""",
error,193,5548,,,,"Payment mode not found: ""Loan Payment""",
error,194,6284,,,,"Payment mode not found: ""Loan Payment""",
error,195,6534,,,,"Payment mode not found: ""Cash""",
error,196,6235,,,,"Payment mode not found: ""UPI / QR Code""",
error,197,6621,,,,"Payment mode not found: ""UPI / QR Code""",
error,198,6590,,,,"Payment mode not found: ""UPI / QR Code""",
error,199,6571,,,,"Payment mode not found: ""Cash""",
error,200,6100,,,,"Payment mode not found: ""Cash""",
error,201,6025,,,,"Payment mode not found: ""Cheque""",
